customer_id,customer_name,region
1,Customer 001,West
2,Customer 002,West
3,Customer 003,South
4,Customer 004,East
5,Customer 005,East
6,Customer 006,East
7,Customer 007,West
8,Customer 008,West
9,Customer 009,Midwest
10,Customer 010,West
11,Customer 011,West
12,Customer 012,West
13,Customer 013,East
14,Customer 014,East
15,Customer 015,West
16,Customer 016,East
17,Customer 017,Midwest
18,Customer 018,East
19,Customer 019,Midwest
20,Customer 020,South
21,Customer 021,West
22,Customer 022,East
23,Customer 023,Midwest
24,Customer 024,South
25,Customer 025,South
26,Customer 026,East
27,Customer 027,East
28,Customer 028,South
29,Customer 029,West
30,Customer 030,West
31,Customer 031,Midwest
32,Customer 032,West
33,Customer 033,South
34,Customer 034,South
35,Customer 035,South
36,Customer 036,West
37,Customer 037,Midwest
38,Customer 038,West
39,Customer 039,Midwest
40,Customer 040,West
41,Customer 041,South
42,Customer 042,South
43,Customer 043,East
44,Customer 044,West
45,Customer 045,West
46,Customer 046,East
47,Customer 047,South
48,Customer 048,West
49,Customer 049,East
50,Customer 050,West
