order_id,order_date,customer_id,product_id,quantity,unit_price
ORD-03-000001,2026-03-17,35,16,1,36.46
ORD-03-000002,2026-03-07,41,7,5,53.11
ORD-03-000003,2026-03-14,1,18,3,30.71
ORD-03-000004,2026-03-21,39,17,5,64.54
ORD-03-000005,2026-03-03,43,13,5,82.92
ORD-03-000006,2026-03-07,22,5,3,80.7
ORD-03-000007,2026-03-20,46,5,4,84.83
ORD-03-000008,2026-03-28,35,6,2,29.42
ORD-03-000009,2026-03-15,46,16,3,33.72
ORD-03-000010,2026-03-01,46,20,3,41.65
ORD-03-000011,2026-03-06,26,3,2,23.34
ORD-03-000012,2026-03-10,27,13,5,81.99
ORD-03-000013,2026-03-14,7,7,5,48.13
ORD-03-000014,2026-03-04,26,11,4,20.53
ORD-03-000015,2026-03-18,10,1,1,98.12
ORD-03-000016,2026-03-11,47,15,1,16.35
ORD-03-000017,2026-03-29,48,20,5,48.57
ORD-03-000018,2026-03-03,34,19,5,91.08
ORD-03-000019,2026-03-15,15,10,4,21.4
ORD-03-000020,2026-03-01,17,18,4,25.9
ORD-03-000021,2026-03-05,38,11,3,18.31
ORD-03-000022,2026-03-29,14,13,4,78.91
ORD-03-000023,2026-03-17,12,15,1,15.82
ORD-03-000024,2026-03-26,50,3,4,24.44
ORD-03-000025,2026-03-04,42,8,1,42.71
ORD-03-000026,2026-03-05,6,4,3,123.92
ORD-03-000027,2026-03-03,1,18,1,28.86
ORD-03-000028,2026-03-16,18,19,2,95.95
ORD-03-000029,2026-03-29,25,20,3,48.06
ORD-03-000030,2026-03-16,1,1,4,95.42
ORD-03-000031,2026-03-18,30,7,3,46.48
ORD-03-000032,2026-03-24,45,18,2,28.33
ORD-03-000033,2026-03-29,22,6,3,34.28
ORD-03-000034,2026-03-25,31,3,3,23.37
ORD-03-000035,2026-03-17,32,20,5,42.97
ORD-03-000036,2026-03-05,17,3,4,24.27
ORD-03-000037,2026-03-03,46,10,3,20.14
ORD-03-000038,2026-03-24,45,3,4,24.4
ORD-03-000039,2026-03-29,16,7,4,52.2
ORD-03-000040,2026-03-04,44,5,2,87.78
ORD-03-000041,2026-03-05,29,16,5,37.16
ORD-03-000042,2026-03-31,30,1,2,86.71
ORD-03-000043,2026-03-30,4,13,4,81.87
ORD-03-000044,2026-03-01,7,5,5,75.98
ORD-03-000045,2026-03-28,14,18,4,28.74
ORD-03-000046,2026-03-26,45,2,2,56.9
ORD-03-000047,2026-03-25,8,18,2,29.4
ORD-03-000048,2026-03-31,8,11,4,19.67
ORD-03-000049,2026-03-28,13,2,1,54.68
ORD-03-000050,2026-03-30,37,20,2,48.05
ORD-03-000051,2026-03-29,18,3,1,24.91
ORD-03-000052,2026-03-08,8,12,5,13.42
ORD-03-000053,2026-03-15,33,20,4,48.53
ORD-03-000054,2026-03-14,23,11,5,20.22
ORD-03-000055,2026-03-30,45,6,1,32.87
ORD-03-000056,2026-03-08,32,20,4,43.26
ORD-03-000057,2026-03-17,16,18,4,26.33
ORD-03-000058,2026-03-02,11,5,2,80.5
ORD-03-000059,2026-03-24,18,20,2,42.78
ORD-03-000060,2026-03-14,14,8,1,39.7
ORD-03-000061,2026-03-08,36,8,4,43.72
ORD-03-000062,2026-03-26,29,8,1,42.18
ORD-03-000063,2026-03-04,7,17,1,63.53
ORD-03-000064,2026-03-01,49,18,4,27.75
ORD-03-000065,2026-03-15,32,10,2,23.57
ORD-03-000066,2026-03-04,1,16,4,37.66
ORD-03-000067,2026-03-26,37,17,5,66.88
ORD-03-000068,2026-03-12,14,3,2,26.09
ORD-03-000069,2026-03-23,37,19,1,95.85
ORD-03-000070,2026-03-27,4,11,4,18.71
ORD-03-000071,2026-03-05,15,7,5,52.29
ORD-03-000072,2026-03-19,46,13,3,71.62
ORD-03-000073,2026-03-20,41,4,2,113.37
ORD-03-000074,2026-03-30,9,1,2,82.62
ORD-03-000075,2026-03-16,19,4,1,112.53
ORD-03-000076,2026-03-30,16,8,4,40.94
ORD-03-000077,2026-03-02,20,15,4,16.67
ORD-03-000078,2026-03-16,31,10,5,22.05
ORD-03-000079,2026-03-21,20,1,1,96.22
ORD-03-000080,2026-03-17,3,3,1,24.42
ORD-03-000081,2026-03-27,3,18,3,26.37
ORD-03-000082,2026-03-26,41,4,4,119.31
ORD-03-000083,2026-03-23,34,3,2,24.22
ORD-03-000084,2026-03-10,3,18,1,29.96
ORD-03-000085,2026-03-27,37,3,5,22.8
ORD-03-000086,2026-03-11,48,3,2,27.07
ORD-03-000087,2026-03-15,5,3,2,23.67
ORD-03-000088,2026-03-01,9,6,1,34.95
ORD-03-000089,2026-03-07,33,13,4,85.01
ORD-03-000090,2026-03-31,18,3,3,27.08
ORD-03-000091,2026-03-20,25,17,5,68.87
ORD-03-000092,2026-03-28,18,3,3,26.19
ORD-03-000093,2026-03-04,28,8,4,38.61
ORD-03-000094,2026-03-21,47,12,3,15.05
ORD-03-000095,2026-03-27,22,19,4,89.68
ORD-03-000096,2026-03-28,28,19,3,84.24
ORD-03-000097,2026-03-20,26,11,4,18.81
ORD-03-000098,2026-03-27,12,19,1,92.46
ORD-03-000099,2026-03-11,29,2,3,54.78
ORD-03-000100,2026-03-28,44,10,5,21.48
ORD-03-000101,2026-03-16,4,12,5,15.01
ORD-03-000102,2026-03-28,14,6,5,30.37
ORD-03-000103,2026-03-16,35,13,1,72.86
ORD-03-000104,2026-03-19,4,3,1,25.42
ORD-03-000105,2026-03-16,43,2,2,52.37
ORD-03-000106,2026-03-20,5,8,2,42.34
ORD-03-000107,2026-03-02,17,20,2,48.16
ORD-03-000108,2026-03-11,47,6,4,30.31
ORD-03-000109,2026-03-15,4,9,3,29.17
ORD-03-000110,2026-03-24,13,8,1,38.08
ORD-03-000111,2026-03-15,6,7,4,43.97
ORD-03-000112,2026-03-06,22,20,4,41.48
ORD-03-000113,2026-03-15,44,5,5,76.87
ORD-03-000114,2026-03-22,7,11,5,17.71
ORD-03-000115,2026-03-14,47,9,4,29.28
ORD-03-000116,2026-03-26,20,19,5,89.67
ORD-03-000117,2026-03-06,24,11,4,17.92
ORD-03-000118,2026-03-08,2,8,2,40.21
ORD-03-000119,2026-03-22,37,20,5,44.34
ORD-03-000120,2026-03-01,29,15,5,15.28
ORD-03-000121,2026-03-16,20,7,5,52.84
ORD-03-000122,2026-03-17,15,8,5,39.89
ORD-03-000123,2026-03-13,48,3,2,25.67
ORD-03-000124,2026-03-24,39,14,4,30.41
ORD-03-000125,2026-03-19,5,19,2,90.01
ORD-03-000126,2026-03-23,15,7,3,52.53
ORD-03-000127,2026-03-27,12,12,4,13.08
ORD-03-000128,2026-03-01,8,5,5,82.47
ORD-03-000129,2026-03-10,18,16,1,36.39
ORD-03-000130,2026-03-16,3,14,1,30.63
ORD-03-000131,2026-03-27,22,7,5,48.38
ORD-03-000132,2026-03-01,49,16,2,31.8
ORD-03-000133,2026-03-21,48,13,5,83.65
ORD-03-000134,2026-03-06,35,9,3,28.23
ORD-03-000135,2026-03-31,22,7,1,45.31
ORD-03-000136,2026-03-25,43,8,5,39.68
ORD-03-000137,2026-03-13,14,18,1,29.8
ORD-03-000138,2026-03-31,39,16,1,34.36
ORD-03-000139,2026-03-19,19,3,5,27.13
ORD-03-000140,2026-03-22,15,13,4,81.91
ORD-03-000141,2026-03-21,34,20,1,49.82
ORD-03-000142,2026-03-10,38,12,3,15.11
ORD-03-000143,2026-03-23,42,9,1,27.69
ORD-03-000144,2026-03-17,49,1,5,87.26
ORD-03-000145,2026-03-12,4,3,1,22.68
ORD-03-000146,2026-03-21,30,9,5,25.17
