product_id,product_name,category
1,Wireless Earbuds,Electronics
2,Bluetooth Speaker,Electronics
3,USB-C Charger,Electronics
4,Mechanical Keyboard,Electronics
5,4K Webcam,Electronics
6,Ceramic Mug Set,Home
7,Linen Throw Blanket,Home
8,Cast Iron Skillet,Home
9,Scented Candle Trio,Home
10,Bamboo Cutting Board,Home
11,Cotton T-Shirt,Apparel
12,Merino Wool Socks,Apparel
13,Denim Jacket,Apparel
14,Running Shorts,Apparel
15,Knit Beanie,Apparel
16,Insulated Water Bottle,Outdoors
17,Trekking Poles,Outdoors
18,Headlamp,Outdoors
19,Packable Rain Jacket,Outdoors
20,Camping Hammock,Outdoors
